To,Location,I/O Standard,Weak Pull-Up Resistor
SRAM_ADDR[3],PIN_AC7,3.3-V LVTTL,
SRAM_ADDR[4],PIN_AB6,3.3-V LVTTL,
SRAM_ADDR[5],PIN_AE6,3.3-V LVTTL,
SRAM_ADDR[6],PIN_AB5,3.3-V LVTTL,
SRAM_ADDR[7],PIN_AC5,3.3-V LVTTL,
SRAM_ADDR[8],PIN_AF5,3.3-V LVTTL,
SRAM_ADDR[9],PIN_T7,3.3-V LVTTL,
SRAM_ADDR[10],PIN_AF2,3.3-V LVTTL,
SRAM_ADDR[11],PIN_AD3,3.3-V LVTTL,
SRAM_ADDR[12],PIN_AB4,3.3-V LVTTL,
SRAM_ADDR[13],PIN_AC3,3.3-V LVTTL,
SRAM_ADDR[14],PIN_AA4,3.3-V LVTTL,
SRAM_ADDR[15],PIN_AB11,3.3-V LVTTL,
SRAM_ADDR[16],PIN_AC11,3.3-V LVTTL,
SRAM_ADDR[17],PIN_AB9,3.3-V LVTTL,
SRAM_ADDR[18],PIN_AB8,3.3-V LVTTL,
SRAM_ADDR[19],PIN_T8,3.3-V LVTTL,
SRAM_DQ[0],PIN_AH3,3.3-V LVTTL,
SRAM_DQ[1],PIN_AF4,3.3-V LVTTL,
SRAM_DQ[2],PIN_AG4,3.3-V LVTTL,
SRAM_DQ[3],PIN_AH4,3.3-V LVTTL,
SRAM_DQ[4],PIN_AF6,3.3-V LVTTL,
SRAM_DQ[5],PIN_AG6,3.3-V LVTTL,
SRAM_DQ[6],PIN_AH6,3.3-V LVTTL,
SRAM_DQ[7],PIN_AF7,3.3-V LVTTL,
SRAM_DQ[8],PIN_AD1,3.3-V LVTTL,
SRAM_DQ[9],PIN_AD2,3.3-V LVTTL,
SRAM_DQ[10],PIN_AE2,3.3-V LVTTL,
SRAM_DQ[11],PIN_AE1,3.3-V LVTTL,
SRAM_DQ[12],PIN_AE3,3.3-V LVTTL,
SRAM_DQ[13],PIN_AE4,3.3-V LVTTL,
SRAM_DQ[14],PIN_AF3,3.3-V LVTTL,
SRAM_DQ[15],PIN_AG3,3.3-V LVTTL,
SRAM_UB_N,PIN_AC4,3.3-V LVTTL,
SRAM_LB_N,PIN_AD4,3.3-V LVTTL,
SRAM_CE_N,PIN_AF8,3.3-V LVTTL,
SRAM_OE_N,PIN_AD5,3.3-V LVTTL,
SRAM_WE_N,PIN_AE8,3.3-V LVTTL,
